,상품명,가격
0,최상급 통통 활 왕새우 1kg 34-38미 / 14940원 (빅세일20%+수산대전20% 중복 쿠폰가) / 국내산 (충남 태안),"24,900원"
1,비비고 사골곰탕 500g 18개,"21,150원"
2,펩시콜라 제로 라임향 ECO무라벨 300ml 20펫+리유저블컵/탄산음료/펩시제로 사이다/음료수,"18,500원"
3,이쌀이다 21년산 아산 맑은쌀 삼광 10kg,"26,500원"
4,소문난오부자 재래도시락김5g 72봉 / 8월생산 추석선물세트/쿠폰가15840,"19,800원"
5,프레시지 부채살 페퍼 스테이크 190g x 4팩 (쿠폰가 17430원),"24,900원"
6,닥터린 초임계 알티지(rTG) 오메가3 5박스 (5개월분) +질유산균3박스+쇼핑백+경품추첨,"59,900원"
7,햇반솥반 전복내장영양밥X6개+소고기우엉밥X6개+흑미밤찰밥X6개,"43,900원"
8,리챔 오리지널 200g 10캔,"21,900원"
9,(역대급 134P 11820) 베스트셀러 러브 생리대/사은품증정,"18,900원"
10,(요기요) 1만원권,"10,000원"
11,국내산 쫀득 구운계란 30알 x 2판,"15,900원"
12,참드림미 쌀 10kg 2개 단일품종 특등급 쿠폰가 32400원,"53,000원"
13,우듬지팜 산지직송 스테비아 방울토망고 500g x 2팩,"9,900원"
14,과탄산소다 특대용량 7kg / 산소계 표백제,"14,800원"
15,혼합곡 17곡 10kg(5kg+5kg) 2021년산 쿠폰가15920원,"19,900원"
16,김치사발면12개+육개장사발면12개(총24개),"20,900원"
17,홈쇼핑 가을신상/여름시즌OFF 특가 모음전/무료배송,"7,900원"
18,아기물티슈 최종 19920) 미스터펭 시그니처77 캡형 70매 20팩 (77g),"24,900원"
19,(버거킹) 와퍼+불고기와퍼주니어+콜라R2,"7,900원"
